tempo,dispositivo,evento,detalhes
0,rasp-car,move,"0,0"
0,rasp-car,scan,"router1,-35.0,0,0"
0,rasp-car,scan,"router2,-40.0,0,0"
0,rasp-car,mesh_connect,Conectou à mesh via router1
2,rasp-car,move,"5,0"
2,rasp-car,scan,"router1,-32.5,5,0"
2,rasp-car,scan,"router2,-37.5,5,0"
4,rasp-car,move,"10,0"
4,rasp-car,scan,"router1,-30.0,10,0"
4,rasp-car,scan,"router2,-35.0,10,0"
6,rasp-car,move,"15,0"
6,rasp-car,scan,"router1,-32.5,15,0"
6,rasp-car,scan,"router2,-32.5,15,0"
8,rasp-car,move,"20,0"
8,rasp-car,scan,"router1,-35.0,20,0"
8,rasp-car,scan,"router2,-30.0,20,0"
10,rasp-car,move,"25,0"
10,rasp-car,scan,"router1,-37.5,25,0"
10,rasp-car,scan,"router2,-32.5,25,0"
12,rasp-car,scan,"router1,-37.5,25,0"
12,rasp-car,scan,"router2,-32.5,25,0"
14,rasp-car,scan,"router1,-37.5,25,0"
14,rasp-car,scan,"router2,-32.5,25,0"
